OrderID,ProductID,UnitPrice,Quantity
10248,11,14,12
10248,42,9.8,10
10248,72,34.8,5
10249,14,18.6,9
10249,51,42.4,40
10250,41,7.7,10
10250,51,42.4,35
10250,65,16.8,15
10251,22,16.8,6
10251,57,15.6,15
10251,65,16.8,20
10252,20,64.8,40
10252,33,2,25
10252,60,27.2,40
10253,31,10,20
10253,39,14.4,42
10253,49,16,40
10254,24,3.6,15
10254,55,19.2,21
10254,74,8,21
10255,2,15.2,20
10255,16,13.9,35
10255,36,15.2,25
10255,59,44,30
10256,53,26.2,15
10256,77,10.4,12
10257,27,35.1,25
10257,39,14.4,6
10257,77,10.4,15
10258,2,15.2,50
10258,5,17,65
10258,32,25.6,6
10259,21,8,10
10259,37,20.8,1
10260,41,7.7,16
10260,57,15.6,50
10260,62,39.4,15
10260,70,12,21
10261,21,8,20
10261,35,14.4,20
10262,5,17,12
10262,7,24,15
10262,56,30.4,2
10263,16,13.9,60
10263,24,3.6,28
10263,30,20.7,60
10263,74,8,36
10264,2,15.2,35
10264,41,7.7,25
10265,17,31.2,30
10265,70,12,20
10266,12,30.4,12
10267,40,14.7,50
10267,59,44,70
10267,76,14.4,15
10268,29,99,10
10268,72,27.8,4
10269,33,2,60
10269,72,27.8,20
10270,36,15.2,30
10270,43,36.8,25
10271,33,2,24
10272,20,64.8,6
10272,31,10,40
10272,72,27.8,24
10273,10,24.8,24
10273,31,10,15
10273,33,2,20
10273,40,14.7,60
10273,76,14.4,33
10274,71,17.2,20
10274,72,27.8,7
10275,24,3.6,12
10275,59,44,6
10276,10,24.8,15
10276,13,4.8,10
10277,28,36.4,20
10277,62,39.4,12
10278,44,15.5,16
10278,59,44,15
10278,63,35.1,8
10278,73,12,25
10279,17,31.2,15
10280,24,3.6,12
10280,55,19.2,20
10280,75,6.2,30
10281,19,7.3,1
10281,24,3.6,6
10281,35,14.4,4
10282,30,20.7,6
10282,57,15.6,2
10283,15,12.4,20
10283,19,7.3,18
10283,60,27.2,35
10283,72,27.8,3
10284,27,35.1,15
10284,44,15.5,21
10284,60,27.2,20
10284,67,11.2,5
10285,1,14.4,45
10285,40,14.7,40
10285,53,26.2,36
10286,35,14.4,100
10286,62,39.4,40
10287,16,13.9,40
10287,34,11.2,20
10287,46,9.6,15
10288,54,5.9,10
10288,68,10,3
10289,3,8,30
10289,64,26.6,9
10290,5,17,20
10290,29,99,15
10290,49,16,15
10290,77,10.4,10
10291,13,4.8,20
10291,44,15.5,24
10291,51,42.4,2
10292,20,64.8,20
10293,18,50,12
10293,24,3.6,10
10293,63,35.1,5
10293,75,6.2,6
10294,1,14.4,18
10294,17,31.2,15
10294,43,36.8,15
10294,60,27.2,21
10294,75,6.2,6
10295,56,30.4,4
10296,11,16.8,12
10296,16,13.9,30
10296,69,28.8,15
10297,39,14.4,60
10297,72,27.8,20
10298,2,15.2,40
10298,36,15.2,40
10298,59,44,30
10298,62,39.4,15
10299,19,7.3,15
10299,70,12,20
10300,66,13.6,30
10300,68,10,20
10301,40,14.7,10
10301,56,30.4,20
10302,17,31.2,40
10302,28,36.4,28
10302,43,36.8,12
10303,40,14.7,40
10303,65,16.8,30
10303,68,10,15
10304,49,16,30
10304,59,44,10
10304,71,17.2,2
10305,18,50,25
10305,29,99,25
10305,39,14.4,30
10306,30,20.7,10
10306,53,26.2,10
10306,54,5.9,5
10307,62,39.4,10
10307,68,10,3
10308,69,28.8,1
10308,70,12,5
10309,4,17.6,20
10309,6,20,30
10309,42,11.2,2
10309,43,36.8,20
10309,71,17.2,3
10310,16,13.9,10
10310,62,39.4,5
10311,42,11.2,6
10311,69,28.8,7
10312,28,36.4,4
10312,43,36.8,24
10312,53,26.2,20
10312,75,6.2,10
10313,36,15.2,12
10314,32,25.6,40
10314,58,10.6,30
10314,62,39.4,25
10315,34,11.2,14
10315,70,12,30
10316,41,7.7,10
10316,62,39.4,70
10317,1,14.4,20
10318,41,7.7,20
10318,76,14.4,6
10319,17,31.2,8
10319,28,36.4,14
10319,76,14.4,30
10320,71,17.2,30
10321,35,14.4,10
10322,52,5.6,20
10323,15,12.4,5
10323,25,11.2,4
10323,39,14.4,4
10324,16,13.9,21
10324,35,14.4,70
10324,46,9.6,30
10324,59,44,40
10324,63,35.1,80
10325,6,20,6
10325,13,4.8,12
10325,14,18.6,9
10325,31,10,4
10325,72,27.8,40
10326,4,17.6,24
10326,57,15.6,16
10326,75,6.2,50
10327,2,15.2,25
10327,11,16.8,50
10327,30,20.7,35
10327,58,10.6,30
10328,59,44,9
10328,65,16.8,40
10328,68,10,10
10329,19,7.3,10
10329,30,20.7,8
10329,38,210.8,20
10329,56,30.4,12
10330,26,24.9,50
10330,72,27.8,25
10331,54,5.9,15
10332,18,50,40
10332,42,11.2,10
10332,47,7.6,16
